Document Name,Attribute,Title,Excpectations,,,,
Investor Relations All Titles,Business needs,ANALYST/ COORDINATOR/ STAFF ACCOUNTANT/ OFFICE MANAGER ,Takes ownership of responsibilities with guidance from manager. ,,,,
,,,Begins to think ahead and anticipates manager’s needs. ,,,,
Investor Relations All Titles,Business needs,ANALYST/ COORDINATOR/ STAFF ACCOUNTANT/ OFFICE MANAGER ,Impact or value-add is primarily due to day-to-day operational impact. ,,,,
,,,Prepares work products. ,,,,
Investor Relations All Titles,Business needs,ANALYST/ COORDINATOR/ STAFF ACCOUNTANT/ OFFICE MANAGER ,Owns day-to-day tasks within a workstream. ,,,,
Investor Relations All Titles,Leadership,ANALYST/ COORDINATOR/ STAFF ACCOUNTANT/ OFFICE MANAGER ,Proactively offers manager and team members support to complete critical work efforts. ,,,,
Investor Relations All Titles,Leadership,ANALYST/ COORDINATOR/ STAFF ACCOUNTANT/ OFFICE MANAGER ,Accurately predicts time needed to complete a task and consistently meets deadlines. ,,,,
Investor Relations All Titles,Leadership,ANALYST/ COORDINATOR/ STAFF ACCOUNTANT/ OFFICE MANAGER ,Acts as a self-reviewer to produce accurate and complete work products. ,,,,
Investor Relations All Titles,Leadership,ANALYST/ COORDINATOR/ STAFF ACCOUNTANT/ OFFICE MANAGER ,Expresses ideas clearly and concisely in both writing and live interactions.  ,,,,
,,,Seeks opportunities to voice point of view in group settings. ,,,,
Investor Relations All Titles,Strive to excel,ANALYST/ COORDINATOR/ STAFF ACCOUNTANT/ OFFICE MANAGER ,"Demonstrates ability to analyze, synthesize, and present large amounts of data with accuracy and efficiency according to agreed parameters and deadlines.  ",,,,
,,,Works with manager to expand internal and external networks to build knowledge and technical expertise in one area of specialization or expertise.  ,,,,
,,,"Proactively seeks to take on more responsibilities to expand knowledge, stretch beyond comfort zone, and support broader team efforts. ",,,,
Investor Relations All Titles,Strive to excel,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,Sets and achieves challenging stretch goals that support team and business area goals. ,,,,
,,,"Revisits and amends goals with manager to ensure expectations are clear, taking into account changes in priorities/business environment. ",,,,
Investor Relations All Titles,Deliver for the firm,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,Demonstrates strong commitment to the mission and values of the firm.  ,,,,
,,,Beginning to establish open and trusting relationships with other teams through regular and productive communication. ,,,,
Investor Relations All Titles,Deliver for the firm,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,Looks for opportunities to expand internal network. ,,,,
Investor Relations All Titles,Deliver for the firm,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,Shares best practices with peers to improve workplace efficiencies. ,,,,
Investor Relations All Titles,Challenges the status quo,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,Leverages experience to identify the root causes of problems and recommends solutions. ,,,,
,,,Contributes to the development and implementation of new or improved processes and systems. ,,,,
Investor Relations All Titles,Challenges the status quo,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,"Building the confidence to share ideas, provide constructive feedback, and challenge the status quo when communicating with colleagues. ",,,,
Investor Relations All Titles,Challenges the status quo,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,Leverages prior experience to improve future work products. ,,,,
,,,Applies firmwide compliance standards across all work and elevates issues to appropriate point of contact. ,,,,
Investor Relations All Titles,Levarage diverse perspective,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,Educates self about how unconscious bias can impact behavior. ,,,,
Investor Relations All Titles,Levarage diverse perspective,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,Leverages personal network to collaborate across teams and support work efforts. ,,,,
,,,Proactively solicits and leverages the perspectives of a broad range of internal and/or external stakeholders. ,,,,
Investor Relations All Titles,Levarage diverse perspective,SENIOR ANALYST/ ADMINISTRATOR/ SENIOR ACCOUNTANT ,Takes steps to expand diversity of thought for self. ,,,,
,,, ,,,,
